size,sex,category,fit,w,h
L,남성,상의,보통이에요,62,171
L,남성,상의,커요,80,180
S,여성,상의,보통이에요,45,158
M,여성,상의,보통이에요,55,165
L,남성,상의,보통이에요,57,182
L,남성,상의,보통이에요,52,172
L,여성,상의,커요,65,174
M,남성,상의,커요,78,167
S,남성,상의,커요,65,178
M,여성,상의,보통이에요,54,170
M,여성,상의,커요,47,158
S,여성,상의,보통이에요,53,162
XL,남성,상의,커요,78,179
XL,남성,상의,커요,83,174
XL,여성,상의,보통이에요,69,167
XL,남성,상의,보통이에요,92,183
M,남성,상의,보통이에요,69,171
L,남성,상의,보통이에요,67,181
L,남성,상의,보통이에요,77,177
L,남성,상의,보통이에요,77,177
S,여성,상의,보통이에요,57,173
S,여성,상의,보통이에요,42,156
M,여성,상의,보통이에요,48,159
L,남성,상의,보통이에요,73,173
S,여성,상의,보통이에요,56,160
XL,남성,상의,보통이에요,82,172
XL,남성,상의,보통이에요,80,180
S,여성,상의,보통이에요,49,157
XL,남성,상의,보통이에요,82,172
M,여성,상의,보통이에요,60,160
S,여성,상의,커요,45,155
XL,남성,상의,보통이에요,82,172
M,여성,상의,보통이에요,52,159
S,여성,상의,보통이에요,52,159
S,여성,상의,보통이에요,56,160
XL,남성,상의,보통이에요,80,178
XL,남성,상의,보통이에요,88,183
L,남성,상의,보통이에요,76,166
L,남성,상의,보통이에요,72,176
M,여성,상의,커요,50,157
S,여성,상의,보통이에요,44,156
M,남성,상의,보통이에요,84,175
S,여성,상의,보통이에요,48,160
S,여성,상의,보통이에요,43,153
M,남성,상의,보통이에요,70,173
M,남성,상의,보통이에요,63,174
XL,남성,상의,작아요,78,177
XL,남성,상의,보통이에요,84,184
L,남성,상의,보통이에요,83,178
M,남성,상의,보통이에요,62,174
XL,남성,상의,보통이에요,76,177
XL,남성,상의,보통이에요,76,177
XL,남성,상의,보통이에요,73,180
XL,남성,상의,보통이에요,73,180
2XL,여성,상의,커요,53,163
L,남성,상의,보통이에요,69,173
L,남성,상의,보통이에요,60,160
XL,남성,상의,보통이에요,67,175
XL,여성,상의,보통이에요,75,170
XL,여성,상의,보통이에요,75,170
L,남성,상의,보통이에요,69,180
L,남성,상의,보통이에요,85,185
L,남성,상의,보통이에요,65,182
L,남성,상의,보통이에요,65,182
M,남성,상의,보통이에요,70,172
M,남성,상의,보통이에요,70,172
2XL,남성,상의,커요,90,190
L,남성,상의,보통이에요,64,173
L,남성,상의,보통이에요,67,172
L,남성,상의,보통이에요,58,177
L,남성,상의,보통이에요,58,177
L,남성,상의,보통이에요,58,177
L,남성,상의,보통이에요,70,173
L,남성,상의,보통이에요,58,180
L,남성,상의,보통이에요,66,174
L,남성,상의,보통이에요,78,178
L,여성,상의,보통이에요,55,168
L,남성,상의,보통이에요,63,180
L,남성,상의,보통이에요,65,171
L,남성,상의,보통이에요,78,172
M,남성,상의,보통이에요,67,167
M,남성,상의,보통이에요,59,163
M,남성,상의,보통이에요,63,176
XL,남성,상의,보통이에요,77,171
XL,남성,상의,보통이에요,75,175
XL,남성,상의,보통이에요,86,179
XL,남성,상의,보통이에요,76,180
XL,남성,상의,보통이에요,80,183
XL,남성,상의,보통이에요,80,183
XL,남성,상의,보통이에요,90,178
XL,남성,상의,보통이에요,72,182
XL,남성,상의,보통이에요,78,178
XL,남성,상의,보통이에요,80,175
2XL,남성,상의,보통이에요,82,182
L,남성,상의,보통이에요,83,178
L,남성,상의,보통이에요,73,173
L,남성,상의,커요,64,172
L,남성,상의,보통이에요,74,181
M,남성,상의,보통이에요,75,177
M,남성,상의,커요,64,172
M,남성,상의,보통이에요,72,173
M,여성,상의,커요,54,167
M,남성,상의,보통이에요,72,173
M,남성,상의,보통이에요,72,173
M,남성,상의,보통이에요,68,170
S,남성,상의,보통이에요,64,169
S,남성,상의,보통이에요,64,169
S,남성,상의,보통이에요,66,176
S,남성,상의,보통이에요,53,173
XL,남성,상의,커요,72,187
XL,남성,상의,보통이에요,80,186
XL,남성,상의,보통이에요,85,180
XL,남성,상의,보통이에요,71,179
M,남성,상의,보통이에요,66,168
XL,남성,상의,보통이에요,77,177
L,남성,상의,커요,88,183
S,남성,상의,보통이에요,62,170
S,남성,상의,보통이에요,62,170
S,남성,상의,보통이에요,62,170
S,남성,상의,보통이에요,59,170
S,남성,상의,보통이에요,75,175
S,여성,상의,보통이에요,47,166
S,남성,상의,보통이에요,70,173
S,여성,상의,보통이에요,40,161
S,남성,상의,보통이에요,69,173
S,남성,상의,보통이에요,51,165
S,여성,상의,커요,53,162
S,여성,상의,보통이에요,42,160
S,남성,상의,커요,70,171
S,남성,상의,보통이에요,80,168
S,남성,상의,보통이에요,75,175
S,남성,상의,커요,58,173
S,남성,상의,보통이에요,62,172
S,여성,상의,보통이에요,57,167
S,여성,상의,보통이에요,53,166
S,남성,상의,보통이에요,68,179
S,여성,상의,보통이에요,57,168
S,남성,상의,보통이에요,68,179
S,남성,상의,보통이에요,54,169
S,남성,상의,보통이에요,60,173
M,여성,상의,커요,48,158
S,여성,상의,보통이에요,43,156
S,여성,상의,커요,43,163
M,남성,상의,보통이에요,57,174
S,여성,상의,보통이에요,50,162
L,남성,상의,보통이에요,70,170
L,남성,상의,보통이에요,65,175
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,64,177
L,남성,상의,보통이에요,64,177
L,남성,상의,보통이에요,75,173
XL,남성,상의,커요,74,173
XL,남성,상의,보통이에요,72,181
XL,남성,상의,보통이에요,73,169
XL,여성,상의,커요,58,159
XL,남성,상의,보통이에요,85,187
